                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3074,                0.94044,                0.98803,                0.91049,                 0.8275,                0.85651,                0.54356,                 1.2534,                0.96059,                 1.0215,              0.0013466,              0.0013466,              0.0013466
                     36,                  1.244,                 1.1601,                  1.002,                0.91049,                 0.8275,                0.85651,                0.54356,                 1.2534,                0.96059,                 1.0215,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.3138,                0.92517,                0.99441,                0.92238,                0.86156,                0.88128,                0.56966,                 1.2534,                0.85994,                 1.0144,               0.001307,               0.001307,               0.001307
                     38,                 1.1666,                0.94242,                 1.0489,                0.92238,                0.86156,                0.88128,                0.56966,                 1.2534,                0.85994,                 1.0144,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.2891,                 1.0044,                 1.0424,                0.92238,                0.86156,                0.88128,                0.56966,                 1.2534,                0.85994,                 1.0144,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.2311,                 1.2646,                 1.0341,                0.90972,                0.88166,                0.88379,                0.56902,                  1.237,                 0.8306,                 1.0183,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.2838,                0.92056,                 1.0217,                0.90972,                0.88166,                0.88379,                0.56902,                  1.237,                 0.8306,                 1.0183,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.3001,                0.92159,                 1.0663,                0.90972,                0.88166,                0.88379,                0.56902,                  1.237,                 0.8306,                 1.0183,               0.001208,               0.001208,               0.001208
                     43,                 1.3154,                0.92712,                 1.0405,                0.93899,                 0.8657,                0.88992,                0.57916,                  1.223,                0.81801,                 1.0182,              0.0011882,              0.0011882,              0.0011882
                     44,                  1.318,                 1.0484,                 1.0649,                0.93899,                 0.8657,                0.88992,                0.57916,                  1.223,                0.81801,                 1.0182,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.2569,                0.85954,                 1.0302,                0.93899,                 0.8657,                0.88992,                0.57916,                  1.223,                0.81801,                 1.0182,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.3581,                0.97164,                 1.0382,                0.92285,                0.88212,                0.89566,                0.60132,                 1.1662,                0.77232,                 1.0037,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.2109,                0.92832,                 1.0152,                0.92285,                0.88212,                0.89566,                0.60132,                 1.1662,                0.77232,                 1.0037,               0.001109,               0.001109,               0.001109
                     48,                 1.1708,                0.84007,                 1.0363,                0.92285,                0.88212,                0.89566,                0.60132,                 1.1662,                0.77232,                 1.0037,              0.0010892,              0.0010892,              0.0010892
                     49,                  1.279,                0.93787,                 1.0561,                0.92285,                0.88212,                0.89566,                0.60132,                 1.1662,                0.77232,                 1.0037,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.1997,                0.82427,                 1.0187,                0.93341,                0.88375,                0.89816,                0.60031,                 1.1617,                0.75148,                 1.0035,              0.0010496,              0.0010496,              0.0010496
                     51,                  1.234,                0.82733,                 1.0177,                0.93341,                0.88375,                0.89816,                0.60031,                 1.1617,                0.75148,                 1.0035,              0.0010298,              0.0010298,              0.0010298
                     52,                  1.135,                0.90541,                0.97408,                0.93341,                0.88375,                0.89816,                0.60031,                 1.1617,                0.75148,                 1.0035,                0.00101,                0.00101,                0.00101
                     53,                 1.1583,                0.90078,                0.97208,                0.92952,                  0.885,                0.89944,                0.59693,                 1.1639,                0.75309,                 1.0032,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.2644,                0.84074,                 1.0095,                0.92952,                  0.885,                0.89944,                0.59693,                 1.1639,                0.75309,                 1.0032,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.2485,                0.90788,                 1.0103,                0.92952,                  0.885,                0.89944,                0.59693,                 1.1639,                0.75309,                 1.0032,              0.0009506,              0.0009506,              0.0009506
